authorId,contrib_index,description,type,syntax,semantic
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Suppression de la taxe d'habitation pour tous les Français,statement,negative,neutral
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Réindexation des retraites via la CSG,proposition,positive,neutral
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Élimination de la division entre les Français (patrons et salariés),proposition,positive,neutral
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Les patrons ont besoin des plus modestes et vice versa pour réussir,statement,negative,neutral
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Les Français veulent vivre dignement de leur salaire sans assistance,proposition,positive,positive
VXNlcjo3MDdkM2IzOC0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,4,Les droits soient automatiques,statement,negative,negative
VXNlcjo3MDdkM2IzOC0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,4,comme nos devoirs de payer les impôts,statement,positive,neutral
VXNlcjoxZTNlOTExYi0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,7,Réduire drastiquement la fraude fiscale,statement,negative,negative
VXNlcjoxZTNlOTExYi0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,7,Imposer les grands groupes (GAFA) qui ne le sont pas suffisamment,proposition,positive,negative
VXNlcjoxZTNlOTExYi0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,7,Renforcer la taxe sur les transactions financières,proposition,positive,neutral
VXNlcjo1ODljMWRiMy0xZDVhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,8,Diminuer le taux de prélèvement pour les retraités,statement,negative,neutral
VXNlcjo1ODljMWRiMy0xZDVhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,8,percevant des minima sociaux inférieurs à 2550 euros,statement,positive,neutral
VXNlcjo1ODljMWRiMy0xZDVhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,8,Note: The first idea is a statement that proposes to reduce the withholding tax rate for retirees. The syntax is negative because it implies a reduction,statement,positive,neutral
VXNlcjo1ODljMWRiMy0xZDVhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,8,The second idea is also a statement that provides additional context about the retirees who would benefit from this reduction. The syntax is positive because it describes a specific group of people,statement,positive,neutral
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Les Français devraient payer l'impôt qu'ils soient domiciliés ou non en France,statement,negative,negative
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,Tous les Français qui ne veulent plus payer l'impôt en France doivent changer de nationalité,proposition,negative,negative
